name,team,jersey_number
"LOCKHART, Justin",Edmonton Elks,0
"HILLS, Elijah",Calgary Stampeders,0
"DYCHES, Corey",Calgary Stampeders,0
"STOVALL, Melquan",Calgary Stampeders,0
"Williams, Michael (Bucky)",Winnipeg Blue Bombers,0
"DIXON, De'Shaan",Winnipeg Blue Bombers,90
"Hughes, Michael",,71
"LINDSAY, Zovon",Winnipeg Blue Bombers,0
"DAVIS, TJ",Winnipeg Blue Bombers,0
"DOOLEY, Ben",Winnipeg Blue Bombers,57
"Nomura, Tuasivi",,48
"ROBINSON, Lance",Calgary Stampeders,37
"Lombard, Joey",,67
"COVINGTON, Jacobe",,39
"Mueller, Alexander",,49
"Meyer, Gavin",,97
"Meed, Ryan",Hamilton Tiger-Cats,39
"Woullard, Caiden",,92
"JENKINS, Kydran",Winnipeg Blue Bombers,54
"Dixon, Moochie",Hamilton Tiger-Cats,0
"Evans, Jessie",Ottawa Redblacks,29
"Averett, Anthony",,
"Holmes, Gavin",,28
"Tuputala, Alphonzo",,50
"Lewis, Robert",Ottawa Redblacks,0
"Bennett Jr., Chico",Saskatchewan Roughriders,94
"Major Jr., Marcus",Saskatchewan Roughriders,27
"Duane, Ethan",,39
"O'MALLEY, Devonte",Calgary Stampeders,98
"Wallace, Joseph",Toronto Argonauts,95
"Correia, Ricky",Toronto Argonauts,78
"MAYERS, Justin",,64
"Kirtz, Bryce",Winnipeg Blue Bombers,0
"Moorer, Parker",Ottawa Redblacks,59
"Effa, Kenten",,0
"Narveson, Brayden",,0
"FRAZIER, Savio",Calgary Stampeders,0
"Toomer, Nicolas",Toronto Argonauts,25
"MOGENSEN, Brock",Edmonton Elks,43
"HODGES, Johnny",Winnipeg Blue Bombers,0
"Kwemo, Nicodeme",,0
"Sherwin, Jack",,0
"Pelto, Desmond",,0
"Ledet Jr, Quincy",,0
"Frost, Aaron",,
"Thorne, Raidan",,0
"Griffin, Khalan",,0
"ARNOLD, Sheldon II",Calgary Stampeders,38
"Prophete, Jashon",,0
"Jean, Latrell",,0
"ROBERSON Jr., Kori",Montreal Alouettes,53
"Despins, Felix",,0
"Ward, Treshaun",,39
"Boyer, Philippe",,0
"Redwine, Sheldrick",Saskatchewan Roughriders,16
"FERDINAND, Kaseem",,82
"Dollison, Omarion",,0
"Keim, Brayden",,0
"ELSBURY, Tyler",Winnipeg Blue Bombers,64
"Fisher, Kyler",Hamilton Tiger-Cats,43
"Garrity, Brian",,0
"Janneh Jr, Abdul",Saskatchewan Roughriders,0
"WOMACK, Kenneth",Winnipeg Blue Bombers,0
"Doubs, Jarmaine",,75
"Brown, Scotty",,76
"Maximuik, Eric",,70
"Misseri, Brayden",,77
"Ergle, Hampton",,68
"Pettway, Jamie",Ottawa Redblacks,49
"MacGOUGAN, Jason",Calgary Stampeders,43
"Tachinski, Jackson",Edmonton Elks,73
"COOLEY, Quinton",,36
"Levengood, Jake",,50
"Khaira, Jas",,57
"Nash, Romeo",,0
"ROBINSON, Dolani",Calgary Stampeders,49
"CARTER JR., Robert",BC Lions,26
"Levesque-Gallant, Alexis",,57
"Adair, Nicholas",,78
"Haney, Eric",,16
"Girouard-Langlois, Natan",,0
"Fortin, Tristan",,0
"TEXADA, Ridge",Winnipeg Blue Bombers,37
"Bridges, Devo",,0
"Amusan , Oluwakolade",,72
"Euler, Austin",,64
"McCray, Drae",,86
"Lamar Sr., Malcolm",,0
"Cretsinger, Micah",,0
"WILSON, Tommy",,82
"FORAN, Cameron",BC Lions,72
"Todd Jr, Michael",,50
"PARES, Sebastian",Winnipeg Blue Bombers,0
"NOYES, Jordan",,46
"Howard, Alex",,34
"Munlin Jr, Vincent",,51
"GIPSON, Jared",BC Lions,8
"Evans, James",,71
"HUTLEY, Joshua",,79
"Mirco, Jesse",Saskatchewan Roughriders,74
"MCNAMEE, Mark",,70
"RAICH, Alexander",Edmonton Elks,51
"VASSETT, Mark",Calgary Stampeders,70
"Green, Josh",,79
"SLOAN, Joshua",Montreal Alouettes,72
"Yondjouen, Sylvain",,90
"Eddings, Callum",,0
"BOLGER, Ross",BC Lions,48
"MASIN, Fraser",,34
"Starck, Grant",,54
"BLACKWELL, Morice Jr.",Calgary Stampeders,45
"Looes, Charles",,0
"Marotta, Will",,64
"Rasmussen, Alec",,0
"Smith, Kendarius",,75
"Pace, Deshawn",,18
"Taylor, Travon",,69
"ZORN, Joey",,30
"YAZBECK, Keanu",Montreal Alouettes,31
"WIEBE, Daniel",Saskatchewan Roughriders,87
"WHITE, Keelan",Ottawa Redblacks,81
"von MUEHLDORFER, Max",Calgary Stampeders,55
"VIBERT, Ethan",Winnipeg Blue Bombers,62
"VERESUK, Devin",Hamilton Tiger-Cats,49
"VAUGHN, Quincy",Calgary Stampeders,19
"UWUBANMWEN, Iwinosa",Winnipeg Blue Bombers,50
"TATARYN, Chase",BC Lions,46
"STOKMAN, Matthew",Calgary Stampeders,0
"STOIKOS, Luka",,26
"SMITH, Jaylen",Winnipeg Blue Bombers,39
"SHAY, Connor",Winnipeg Blue Bombers,34
"SHANKS, Tiger",Montreal Alouettes,52
"SENECAL, Jonathan",,15
"SAAD, Ali",Saskatchewan Roughriders,96
"PYLE, Ethan",,67
"PIAZZA, Domenico",Edmonton Elks,66
"OJO, Jeremiah",Toronto Argonauts,44
"NOVAK, Lane",Winnipeg Blue Bombers,48
"NITYCHORUK, Jake",Hamilton Tiger-Cats,78
"MILLER-MELANCON, Ashton",Calgary Stampeders,22
"MASUKA, Deemetrius",,5
"MARTEY, Nate",,56
"MAISONNEUVE, Gabriel",,59
"MACLEOD, Riley",Montreal Alouettes,41
"LESSARD, Gabriel",Montreal Alouettes,49
"LAING, Trey",,55
"KNIGHT, Isaiah",Edmonton Elks,34
"JORDAN, Ethan",Ottawa Redblacks,82
"JANUSAS, Vyshonne",Calgary Stampeders,81
"HURFORD, Kolby",Edmonton Elks,72
"HUNDEBY, Seth",Saskatchewan Roughriders,50
"HUBERT, Silas",Edmonton Elks,99
"HOSSEINI, Arvin",Hamilton Tiger-Cats,60
"HOSKINS, Liam",Saskatchewan Roughriders,74
"HORRALL, Ronan",Hamilton Tiger-Cats,35
"HOCEVAR, Daniel",,68
"HARRIS, Hakeem",Montreal Alouettes,11
"HAIE, Anton",Calgary Stampeders,8
"GRIFFITHS, Jayden",Ottawa Redblacks,32
"GRIFFITH, Skyler",Edmonton Elks,80
"GAILLARDETZ, Isaac",Montreal Alouettes,79
"FORTIN, Chris",Calgary Stampeders,57
"FINDLAY, Jackson",BC Lions,33
"FARINACCIO, Nicky",Calgary Stampeders,41
"DOIRON, Dre",,65
"CUMBERBATCH, Eric",Ottawa Redblacks,15
"CORCORAN, Joey",Winnipeg Blue Bombers,81
"CHOQUETTE, Ludovick",Calgary Stampeders,28
"CARSON, Samuel",Ottawa Redblacks,69
"BERWICK, Alex",BC Lions,66
"BEAUCHEMIN, Nate",Montreal Alouettes,23
"BANNATYNE, Mack",Hamilton Tiger-Cats,32
"BALL, Ethan",Winnipeg Blue Bombers,29
"BAGNAH, Isaiah",Hamilton Tiger-Cats,0
"ANDERSON, Ty",Hamilton Tiger-Cats,40
"ANDERSEN, Erik",Saskatchewan Roughriders,61
"AMBERS, King",Ottawa Redblacks,27
"ALFORD, Damien",Calgary Stampeders,80
"AGYEI, Gideon",Saskatchewan Roughriders,71
"AGELI, Muftah",Ottawa Redblacks,75
"CALLIGAN, Keydrain",,0
"MCGEE, Seven",BC Lions,77
"Buelow, Julius",Saskatchewan Roughriders,54
"Brown, Antario",,32
"Bergeron, Cameron",Hamilton Tiger-Cats,28
"Wilson, Preston",,0
"Lockridge, Cameron",Ottawa Redblacks,39
"Jones, DJ",Ottawa Redblacks,66
"Carter, Yoesph",Saskatchewan Roughriders,0
"Atkinson, Christophe",,59
"Johnson, Ryan",,51
"Collins, Payton",Saskatchewan Roughriders,62
"Williams, Jason",,0
"Jackson, Brendan",,0
"Holt, Deshawn",,0
"Walker-Burgess, Marcel",,45
"Kazadi, Gaddiel",,76
"Charles, Kendy",Saskatchewan Roughriders,97
"Swartout, Brayden",Hamilton Tiger-Cats,54
"Brown, Charles",,0
"BLAYLOCK, Travian",,16
"Collins, Marque",,46
"THEIS, Travis",Montreal Alouettes,30
"Hansen, Wyatt",,55
"SMITH, Preston",,0
"Session, TJ",,53
"Jefferson, Justin",,97
"CALLIS, Don",Montreal Alouettes,35
"Smith, Grant",,60
"Watts, Shane",,22
"Horace, Jayden",,75
"Brown, Reggie",,74
"Martin IV, Marshel",,89
"Wilson, Kobe",,58
"Webb, Phillip",,93
"Clark, Braxton",,49
"Hutton, Cooper",,17
"Porter, Geordon",,70
"Hemphill, Aidan",,58
"Pointer, Kevin",,0
"Keys, Daniel",,0
"Hall, Dreydon",,52
"Walthour, Tramel",,73
"KOUNTA, Khadere",,68
"Birdow, Cole",,0
"Morrissey, Matt",Ottawa Redblacks,1
"Peterson, Camron",,69
"McLEOD, Max",,87
"Shaffer, Justin",,59
"Kennedy, Keylon",,72
"BREEZE, Brady",Calgary Stampeders,24
"MANIGO, Juwan",,74
"Lutz, Phil",,0
"ALE, Ulumoo",,58
"Broadway, Bryson",,65
"EVANS, Tiyon",,45
"Samuels, Jaylen",,0
"McFarland, Christian",,45
"Carter, Terrell ""TJ""",,39
"MOKU, Tanner",,0
"Gill, Jaelen",,0
"Ross-Johnson, Jahmir",,69
"GARNES, Chelen",Edmonton Elks,25
"James, Katai (Ty)",,86
"Landry, Joshua",,93
"PONCIUS, Hunter",Winnipeg Blue Bombers,58
"Collins, Elijah",Ottawa Redblacks,35
"Watts, Armani",,21
"Rios, Kobe",,0
"WOODBEY, Jaiden",Winnipeg Blue Bombers,26
"Hayes, Devin",,63
"Sanford, Phalen",,17
"Bohler, Kendall",Hamilton Tiger-Cats,0
"Webb, Mark",,30
"DIXON, Michael",Winnipeg Blue Bombers,0
"Powell-Woods, Deiyantei",,61
"Gaddie Jr, DeShawn",,30
"Roberts, Willie",,37
